"Origin","Recipient","Average no samples per year","Region_origin","Region_recipient"
"Afghanistan","Canada",26.1333333333333,"West Asia","North America"
"Afghanistan","Chile",0.133333333333333,"West Asia","Andes"
"Afghanistan","China",0.133333333333333,"West Asia","East Asia"
"Afghanistan","Poland",0.4,"West Asia","NE Europe"
"Afghanistan","United States of America",0.4,"West Asia","North America"
"Albania","Canada",0.8,"SE Europe","North America"
"Algeria","Belarus",0.133333333333333,"SE Mediterranean","NE Europe"
"Algeria","Canada",11.7333333333333,"SE Mediterranean","North America"
"Algeria","China",2.13333333333333,"SE Mediterranean","East Asia"
"Algeria","Germany",0.666666666666667,"SE Mediterranean","NW Europe"
"Algeria","India",1.2,"SE Mediterranean","South Asia"
"Algeria","Iran (Islamic Republic of)",0.133333333333333,"SE Mediterranean","West Asia"
"Algeria","Israel",0.133333333333333,"SE Mediterranean","West Asia"
"Algeria","Poland",6.66666666666667,"SE Mediterranean","NE Europe"
"Algeria","Russian Federation",0.533333333333333,"SE Mediterranean","NE Europe"
"Algeria","Ukraine",0.666666666666667,"SE Mediterranean","NE Europe"
"Algeria","United Kingdom",0.4,"SE Mediterranean","NW Europe"
"Algeria","United States of America",1.46666666666667,"SE Mediterranean","North America"
"Argentina","Argentina",0.133333333333333,"Temp. S. America","Temp. S. America"
"Argentina","Belarus",0.266666666666667,"Temp. S. America","NE Europe"
"Argentina","Bulgaria",0.133333333333333,"Temp. S. America","SE Europe"
"Argentina","Canada",17.7333333333333,"Temp. S. America","North America"
"Argentina","Chile",0.266666666666667,"Temp. S. America","Andes"
"Argentina","China",0.533333333333333,"Temp. S. America","East Asia"
"Argentina","France",0.133333333333333,"Temp. S. America","NW Europe"
"Argentina","Germany",2,"Temp. S. America","NW Europe"
"Argentina","Iran (Islamic Republic of)",0.133333333333333,"Temp. S. America","West Asia"
"Argentina","Norway",0.533333333333333,"Temp. S. America","NW Europe"
"Argentina","Poland",0.266666666666667,"Temp. S. America","NE Europe"
"Argentina","Turkey",0.4,"Temp. S. America","West Asia"
"Argentina","United Kingdom",0.133333333333333,"Temp. S. America","NW Europe"
"Armenia","Belarus",0.133333333333333,"Central Asia","NE Europe"
"Armenia","Bulgaria",0.133333333333333,"Central Asia","SE Europe"
"Armenia","Canada",2.53333333333333,"Central Asia","North America"
"Armenia","China",0.133333333333333,"Central Asia","East Asia"
"Armenia","United Kingdom",0.533333333333333,"Central Asia","NW Europe"
"Armenia","United States of America",0.533333333333333,"Central Asia","North America"
"Australia","Argentina",0.133333333333333,"Australia New Zealand","Temp. S. America"
"Australia","Belarus",0.133333333333333,"Australia New Zealand","NE Europe"
"Australia","Canada",32.1333333333333,"Australia New Zealand","North America"
"Australia","China",2.53333333333333,"Australia New Zealand","East Asia"
"Australia","China, Taiwan Province of",0.266666666666667,"Australia New Zealand","East Asia"
"Australia","Croatia",0.133333333333333,"Australia New Zealand","SE Europe"
"Australia","Egypt",0.666666666666667,"Australia New Zealand","SE Mediterranean"
"Australia","Estonia",0.266666666666667,"Australia New Zealand","NE Europe"
"Australia","Germany",1.06666666666667,"Australia New Zealand","NW Europe"
"Australia","Iran (Islamic Republic of)",0.133333333333333,"Australia New Zealand","West Asia"
"Australia","Pakistan",0.266666666666667,"Australia New Zealand","West Asia"
"Australia","Poland",2.93333333333333,"Australia New Zealand","NE Europe"
"Australia","Republic of Korea",0.133333333333333,"Australia New Zealand","East Asia"
"Australia","United States of America",0.8,"Australia New Zealand","North America"
"Austria","Canada",4.4,"NW Europe","North America"
"Austria","Chile",0.133333333333333,"NW Europe","Andes"
"Austria","China",0.4,"NW Europe","East Asia"
"Austria","Pakistan",0.133333333333333,"NW Europe","West Asia"
"Azerbaijan","Bulgaria",0.133333333333333,"Central Asia","SE Europe"
"Azerbaijan","Canada",4.66666666666667,"Central Asia","North America"
"Azerbaijan","China",1.06666666666667,"Central Asia","East Asia"
"Azerbaijan","Germany",0.133333333333333,"Central Asia","NW Europe"
"Azerbaijan","Iran (Islamic Republic of)",0.266666666666667,"Central Asia","West Asia"
"Azerbaijan","Poland",0.266666666666667,"Central Asia","NE Europe"
"Azerbaijan","Russian Federation",0.133333333333333,"Central Asia","NE Europe"
"Azerbaijan","United Kingdom",0.4,"Central Asia","NW Europe"
"Azerbaijan","United States of America",1.86666666666667,"Central Asia","North America"
"Bangladesh","Canada",3.6,"South Asia","North America"
"Belarus","Canada",1.2,"NE Europe","North America"
"Belarus","China",0.266666666666667,"NE Europe","East Asia"
"Belarus","United Kingdom",0.133333333333333,"NE Europe","NW Europe"
"Belgium","Bulgaria",0.266666666666667,"NW Europe","SE Europe"
"Belgium","Canada",4,"NW Europe","North America"
"Belgium","Chile",0.133333333333333,"NW Europe","Andes"
"Belgium","China",0.266666666666667,"NW Europe","East Asia"
"Belgium","Japan",0.133333333333333,"NW Europe","East Asia"
"Belgium","New Zealand",0.133333333333333,"NW Europe","Australia New Zealand"
"Benin","China, Taiwan Province of",3.2,"West Africa","East Asia"
"Bhutan","Canada",14,"South Asia","North America"
"Bolivia (Plurinational State of)","Canada",2,"Andes","North America"
"Bolivia (Plurinational State of)","Germany",0.266666666666667,"Andes","NW Europe"
"Bolivia (Plurinational State of)","Republic of Korea",0.133333333333333,"Andes","East Asia"
"Brazil","Canada",19.3333333333333,"Trop. S. America","North America"
"Brazil","China",0.266666666666667,"Trop. S. America","East Asia"
"Brazil","Ethiopia",0.666666666666667,"Trop. S. America","East Africa"
"Brazil","Germany",0.266666666666667,"Trop. S. America","NW Europe"
"Brazil","Poland",0.266666666666667,"Trop. S. America","NE Europe"
"Bulgaria","Canada",10.5333333333333,"SE Europe","North America"
"Bulgaria","China",0.533333333333333,"SE Europe","East Asia"
"Bulgaria","Egypt",1.33333333333333,"SE Europe","SE Mediterranean"
"Bulgaria","Germany",0.4,"SE Europe","NW Europe"
"Bulgaria","Poland",0.133333333333333,"SE Europe","NE Europe"
"Burkina Faso","China, Taiwan Province of",0.666666666666667,"West Africa","East Asia"
"Burkina Faso","India",10.1333333333333,"West Africa","South Asia"
"Cameroon","India",0.666666666666667,"Central Africa","South Asia"
"Canada","Argentina",2.4,"North America","Temp. S. America"
"Canada","Australia",4.53333333333333,"North America","Australia New Zealand"
"Canada","Austria",1.33333333333333,"North America","NW Europe"
"Canada","Belarus",3.2,"North America","NE Europe"
"Canada","Belgium",0.266666666666667,"North America","NW Europe"
"Canada","Bulgaria",9.86666666666667,"North America","SE Europe"
"Canada","Canada",588,"North America","North America"
"Canada","Chile",2.66666666666667,"North America","Andes"
"Canada","China",86.1333333333333,"North America","East Asia"
"Canada","China, Taiwan Province of",4.53333333333333,"North America","East Asia"
"Canada","Croatia",0.8,"North America","SE Europe"
"Canada","Czech Republic",8.93333333333333,"North America","NE Europe"
"Canada","Denmark",0.266666666666667,"North America","NW Europe"
"Canada","Egypt",22.8,"North America","SE Mediterranean"
"Canada","Estonia",5.46666666666667,"North America","NE Europe"
"Canada","Ethiopia",1.86666666666667,"North America","East Africa"
"Canada","Finland",1.2,"North America","NW Europe"
"Canada","France",14.6666666666667,"North America","NW Europe"
"Canada","Germany",48.4,"North America","NW Europe"
"Canada","Hungary",1.06666666666667,"North America","NE Europe"
"Canada","Iceland",1.06666666666667,"North America","NW Europe"
"Canada","India",3.46666666666667,"North America","South Asia"
"Canada","Iran (Islamic Republic of)",3.2,"North America","West Asia"
"Canada","Israel",0.666666666666667,"North America","West Asia"
