"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"Afghanistan","Canada",196,26.1333333333333,"West Asia","Canada"
"Afghanistan","Chile",1,0.133333333333333,"West Asia","Andes"
"Afghanistan","China",1,0.133333333333333,"West Asia","East Asia"
"Afghanistan","Poland",3,0.4,"West Asia","NE Europe"
"Afghanistan","United States of America",3,0.4,"West Asia","United States"
"Albania","Canada",6,0.8,"SE Europe","Canada"
"Algeria","Belarus",1,0.133333333333333,"SE Mediterranean","NE Europe"
"Algeria","Canada",88,11.7333333333333,"SE Mediterranean","Canada"
"Algeria","China",16,2.13333333333333,"SE Mediterranean","East Asia"
"Algeria","Germany",5,0.666666666666667,"SE Mediterranean","NW Europe"
"Algeria","India",9,1.2,"SE Mediterranean","South Asia"
"Algeria","Iran (Islamic Republic of)",1,0.133333333333333,"SE Mediterranean","West Asia"
"Algeria","Israel",1,0.133333333333333,"SE Mediterranean","West Asia"
"Algeria","Poland",50,6.66666666666667,"SE Mediterranean","NE Europe"
"Algeria","Russian Federation",4,0.533333333333333,"SE Mediterranean","NE Europe"
"Algeria","Ukraine",5,0.666666666666667,"SE Mediterranean","NE Europe"
"Algeria","United Kingdom",3,0.4,"SE Mediterranean","NW Europe"
"Algeria","United States of America",11,1.46666666666667,"SE Mediterranean","United States"
"Argentina","Argentina",1,0.133333333333333,"Temp. S. America","Temp. S. America"
"Argentina","Belarus",2,0.266666666666667,"Temp. S. America","NE Europe"
"Argentina","Bulgaria",1,0.133333333333333,"Temp. S. America","SE Europe"
"Argentina","Canada",133,17.7333333333333,"Temp. S. America","Canada"
"Argentina","Chile",2,0.266666666666667,"Temp. S. America","Andes"
"Argentina","China",4,0.533333333333333,"Temp. S. America","East Asia"
"Argentina","France",1,0.133333333333333,"Temp. S. America","NW Europe"
"Argentina","Germany",15,2,"Temp. S. America","NW Europe"
"Argentina","Iran (Islamic Republic of)",1,0.133333333333333,"Temp. S. America","West Asia"
"Argentina","Norway",4,0.533333333333333,"Temp. S. America","NW Europe"
"Argentina","Poland",2,0.266666666666667,"Temp. S. America","NE Europe"
"Argentina","Turkey",3,0.4,"Temp. S. America","West Asia"
"Argentina","United Kingdom",1,0.133333333333333,"Temp. S. America","NW Europe"
"Armenia","Belarus",1,0.133333333333333,"Central Asia","NE Europe"
"Armenia","Bulgaria",1,0.133333333333333,"Central Asia","SE Europe"
"Armenia","Canada",19,2.53333333333333,"Central Asia","Canada"
"Armenia","China",1,0.133333333333333,"Central Asia","East Asia"
"Armenia","United Kingdom",4,0.533333333333333,"Central Asia","NW Europe"
"Armenia","United States of America",4,0.533333333333333,"Central Asia","United States"
"Australia","Argentina",1,0.133333333333333,"Australia New Zealand","Temp. S. America"
"Australia","Belarus",1,0.133333333333333,"Australia New Zealand","NE Europe"
"Australia","Canada",241,32.1333333333333,"Australia New Zealand","Canada"
"Australia","China",19,2.53333333333333,"Australia New Zealand","East Asia"
"Australia","China, Taiwan Province of",2,0.266666666666667,"Australia New Zealand","East Asia"
"Australia","Croatia",1,0.133333333333333,"Australia New Zealand","SE Europe"
"Australia","Egypt",5,0.666666666666667,"Australia New Zealand","SE Mediterranean"
"Australia","Estonia",2,0.266666666666667,"Australia New Zealand","NE Europe"
"Australia","Germany",8,1.06666666666667,"Australia New Zealand","NW Europe"
"Australia","Iran (Islamic Republic of)",1,0.133333333333333,"Australia New Zealand","West Asia"
"Australia","Pakistan",2,0.266666666666667,"Australia New Zealand","West Asia"
"Australia","Poland",22,2.93333333333333,"Australia New Zealand","NE Europe"
"Australia","Republic of Korea",1,0.133333333333333,"Australia New Zealand","East Asia"
"Australia","United States of America",6,0.8,"Australia New Zealand","United States"
"Austria","Canada",33,4.4,"NW Europe","Canada"
"Austria","Chile",1,0.133333333333333,"NW Europe","Andes"
"Austria","China",3,0.4,"NW Europe","East Asia"
"Austria","Pakistan",1,0.133333333333333,"NW Europe","West Asia"
"Azerbaijan","Bulgaria",1,0.133333333333333,"Central Asia","SE Europe"
"Azerbaijan","Canada",35,4.66666666666667,"Central Asia","Canada"
"Azerbaijan","China",8,1.06666666666667,"Central Asia","East Asia"
"Azerbaijan","Germany",1,0.133333333333333,"Central Asia","NW Europe"
