"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"Canada","Argentina",42,5.6,"Canada","Temp. S. America"
"Canada","Australia",60,8,"Canada","Australia New Zealand"
"Canada","Austria",11,1.46666666666667,"Canada","NW Europe"
"Canada","Belarus",53,7.06666666666667,"Canada","NE Europe"
"Canada","Belgium",3,0.4,"Canada","NW Europe"
"Canada","Bulgaria",151,20.1333333333333,"Canada","SE Europe"
"Canada","Canada",18458,2461.06666666667,"Canada","Canada"
"Canada","Chile",175,23.3333333333333,"Canada","Andes"
"Canada","China",1346,179.466666666667,"Canada","East Asia"
"Canada","China, Taiwan Province of",184,24.5333333333333,"Canada","East Asia"
"Canada","Croatia",13,1.73333333333333,"Canada","SE Europe"
"Canada","Czech Republic",72,9.6,"Canada","NE Europe"
"Canada","Denmark",72,9.6,"Canada","NW Europe"
"Canada","Egypt",305,40.6666666666667,"Canada","SE Mediterranean"
"Canada","Estonia",59,7.86666666666667,"Canada","NE Europe"
"Canada","Ethiopia",19,2.53333333333333,"Canada","East Africa"
"Canada","Finland",11,1.46666666666667,"Canada","NW Europe"
"Canada","France",294,39.2,"Canada","NW Europe"
"Canada","Germany",808,107.733333333333,"Canada","NW Europe"
"Canada","Hungary",8,1.06666666666667,"Canada","NE Europe"
"Canada","Iceland",31,4.13333333333333,"Canada","NW Europe"
"Canada","India",499,66.5333333333333,"Canada","South Asia"
"Canada","Iran (Islamic Republic of)",97,12.9333333333333,"Canada","West Asia"
"Canada","Israel",44,5.86666666666667,"Canada","West Asia"
"Canada","Italy",68,9.06666666666667,"Canada","SW Europe"
"Canada","Japan",73,9.73333333333333,"Canada","East Asia"
"Canada","Jordan",35,4.66666666666667,"Canada","West Asia"
"Canada","Luxembourg",1,0.133333333333333,"Canada","NW Europe"
"Canada","Mongolia",36,4.8,"Canada","East Asia"
"Canada","Morocco",147,19.6,"Canada","SE Mediterranean"
"Canada","Netherlands",46,6.13333333333334,"Canada","NW Europe"
"Canada","New Zealand",26,3.46666666666667,"Canada","Australia New Zealand"
"Canada","Norway",82,10.9333333333333,"Canada","NW Europe"
"Canada","Pakistan",215,28.6666666666667,"Canada","West Asia"
"Canada","Philippines",1,0.133333333333333,"Canada","Southeast Asia"
"Canada","Poland",593,79.0666666666667,"Canada","NE Europe"
"Canada","Republic of Korea",61,8.13333333333334,"Canada","East Asia"
"Canada","Romania",27,3.6,"Canada","NE Europe"
"Canada","Russian Federation",142,18.9333333333333,"Canada","NE Europe"
"Canada","Slovakia",1,0.133333333333333,"Canada","NE Europe"
"Canada","Spain",4,0.533333333333333,"Canada","SW Europe"
"Canada","Sudan (former)",8,1.06666666666667,"Canada","East Africa"
"Canada","Sweden",8,1.06666666666667,"Canada","NW Europe"
"Canada","Switzerland",8,1.06666666666667,"Canada","NW Europe"
"Canada","Tunisia",10,1.33333333333333,"Canada","SE Mediterranean"
"Canada","Turkey",169,22.5333333333333,"Canada","West Asia"
"Canada","Ukraine",170,22.6666666666667,"Canada","NE Europe"
"Canada","United Kingdom",327,43.6,"Canada","NW Europe"
"Canada","United States of America",471,62.8,"Canada","United States"
"Canada","Viet Nam",6,0.8,"Canada","Southeast Asia"
"Canada","Zambia",105,14,"Canada","Southern Africa"
