"Region_origin","Region_recipient","Average"
"West Asia","Canada",312.533333333333
"West Asia","Andes",4.93333333333333
"West Asia","East Asia",16.4
"West Asia","NE Europe",24.6666666666667
"West Asia","United States",13.3333333333333
"SE Europe","Canada",34.7999999999999
"SE Mediterranean","NE Europe",27.3333333333333
"SE Mediterranean","Canada",47.9999999999999
"SE Mediterranean","East Asia",8.93333333333333
"SE Mediterranean","NW Europe",4.53333333333333
"SE Mediterranean","South Asia",1.2
"SE Mediterranean","West Asia",6.26666666666666
"SE Mediterranean","United States",4.53333333333334
"Temp. S. America","Temp. S. America",0.666666666666666
"Temp. S. America","NE Europe",1.06666666666667
"Temp. S. America","SE Europe",0.133333333333333
"Temp. S. America","Canada",23.7333333333333
"Temp. S. America","Andes",0.266666666666667
"Temp. S. America","East Asia",0.933333333333333
"Temp. S. America","NW Europe",3.33333333333333
"Temp. S. America","West Asia",0.533333333333333
"Central Asia","NE Europe",1.6
"Central Asia","SE Europe",0.533333333333333
"Central Asia","Canada",21.4666666666667
"Central Asia","East Asia",2
"Central Asia","NW Europe",4.13333333333333
"Central Asia","United States",3.73333333333334
"Australia New Zealand","Temp. S. America",0.133333333333333
"Australia New Zealand","NE Europe",3.33333333333333
"Australia New Zealand","Canada",35.2
"Australia New Zealand","East Asia",3.46666666666666
"Australia New Zealand","SE Europe",0.266666666666666
"Australia New Zealand","SE Mediterranean",0.666666666666667
"Australia New Zealand","NW Europe",1.46666666666667
"Australia New Zealand","West Asia",0.4
"Australia New Zealand","United States",0.8
"NW Europe","Canada",262.133333333333
"NW Europe","Andes",4.4
"NW Europe","East Asia",20.9333333333333
"NW Europe","West Asia",4
"Central Asia","West Asia",0.533333333333333
"South Asia","Canada",120.266666666667
"NE Europe","Canada",305.866666666666
"NE Europe","East Asia",22.9333333333333
"NE Europe","NW Europe",33.0666666666666
"NW Europe","SE Europe",3.73333333333333
"NW Europe","Australia New Zealand",1.46666666666667
"West Africa","East Asia",10.6666666666667
"Andes","Canada",33.1999999999999
"Andes","NW Europe",5.06666666666666
"Andes","East Asia",1.86666666666667
"Trop. S. America","Canada",19.3333333333333
