"Region_origin","Region_recipient","Average"
"Canada","Temp. S. America",5.6
"Canada","Australia New Zealand",11.4666666666667
"Canada","NW Europe",226.933333333333
"Canada","NE Europe",150
"Canada","SE Europe",21.8666666666666
"Canada","Canada",2461.06666666667
"Canada","Andes",23.3333333333333
"Canada","East Asia",226.666666666667
"Canada","SE Mediterranean",61.6
"Canada","East Africa",3.6
"Canada","South Asia",66.5333333333333
"Canada","West Asia",74.6666666666666
"Canada","SW Europe",9.6
"Canada","Southeast Asia",0.933333333333333
"Canada","United States",62.8
"Canada","Southern Africa",14
